trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1_平日_16時20分_系統51111,16:20:00,16:20:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_16時20分_系統51111,16:21:00,16:21:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_16時20分_系統51111,16:22:00,16:22:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_16時20分_系統51111,16:23:00,16:23:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_16時20分_系統51111,16:23:00,16:23:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_16時20分_系統51111,16:24:00,16:24:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_16時20分_系統51111,16:25:00,16:25:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_16時20分_系統51111,16:35:00,16:35:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_16時40分_系統51111,16:40:00,16:40:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_16時40分_系統51111,16:41:00,16:41:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_16時40分_系統51111,16:42:00,16:42:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_16時40分_系統51111,16:43:00,16:43:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_16時40分_系統51111,16:43:00,16:43:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_16時40分_系統51111,16:44:00,16:44:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_16時40分_系統51111,16:45:00,16:45:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_16時40分_系統51111,16:55:00,16:55:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_17時20分_系統51111,17:20:00,17:20:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_17時20分_系統51111,17:21:00,17:21:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_17時20分_系統51111,17:22:00,17:22:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_17時20分_系統51111,17:23:00,17:23:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
